sample	rawreads1	rawreads2	assembly
HA12_4	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA12_4/HA12_4_EKDN220043730-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA12_4/HA12_4_EKDN220043730-1A_HKK5MDSX5_L4_2.fq.gz	Havgajavri
HA14_5_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA14_5/HA14_5_EKDN220043731-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA14_5/HA14_5_EKDN220043731-1A_HKK5MDSX5_L4_2.fq.gz	Havgajavri
HA14_5_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA14_5/HA14_5_EKDN220043731-1A_HLY2LDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA14_5/HA14_5_EKDN220043731-1A_HLY2LDSX5_L4_2.fq.gz	Havgajavri
HA19_6	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA19_6/HA19_6_EKDN220043732-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA19_6/HA19_6_EKDN220043732-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA20_7	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA20_7/HA20_7_EKDN220043733-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA20_7/HA20_7_EKDN220043733-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA21_11	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA21_11/HA21_11_EKDN220043737-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA21_11/HA21_11_EKDN220043737-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA22_8	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA22_8/HA22_8_EKDN220043734-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA22_8/HA22_8_EKDN220043734-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA23_9	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA23_9/HA23_9_EKDN220043735-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA23_9/HA23_9_EKDN220043735-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA24_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA24_1/HA24_1_EKDN220043736-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA24_1/HA24_1_EKDN220043736-1A_HLY7KDSX5_L4_2.fq.gz	Havgajavri
HA4_1	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA4_1/HA4_1_EKDN220043727-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA4_1/HA4_1_EKDN220043727-1A_HKK5MDSX5_L4_2.fq.gz	Havgajavri
HA6_2	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA6_2/HA6_2_EKDN220043728-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA6_2/HA6_2_EKDN220043728-1A_HKK5MDSX5_L4_2.fq.gz	Havgajavri
HA9_3	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA9_3/HA9_3_EKDN220043729-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/HA9_3/HA9_3_EKDN220043729-1A_HKK5MDSX5_L4_2.fq.gz	Havgajavri
L10_504	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L01_504/V300063539_L01_504_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L01_504/V300063539_L01_504_2_trim.fq.gz	Langfjordvatn
L14_521	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_521/V300063539_L02_521_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_521/V300063539_L02_521_2_trim.fq.gz	Langfjordvatn
L15_522	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_522/V300063539_L02_522_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_522/V300063539_L02_522_2_trim.fq.gz	Langfjordvatn
