sample	rawreads1	rawreads2
LF_14	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_14/LF_14_EKDN220043742-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_14/LF_14_EKDN220043742-1A_HLY7KDSX5_L4_2.fq.gz
LF_17	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_17/LF_17_EKDN220043743-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_17/LF_17_EKDN220043743-1A_HLY7KDSX5_L4_2.fq.gz
LF_21	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_21/LF_21_EKDN220043744-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_21/LF_21_EKDN220043744-1A_HLY7KDSX5_L4_2.fq.gz
LF_57	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_57/LF_57_EKDN220043739-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_57/LF_57_EKDN220043739-1A_HKK5MDSX5_L4_2.fq.gz
LF_77	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_77/LF_77_EKDN220043740-1A_HKK5MDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_77/LF_77_EKDN220043740-1A_HKK5MDSX5_L4_2.fq.gz
LF_79	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_79/LF_79_EKDN220043741-1A_HLY7KDSX5_L4_1.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/metagenomic-12GB-H204SC22104646-NVUK2022102539-DK-UCPH-76-shotgun/X204SC22104646-Z01-F001_03/01.RawData/LF_79/LF_79_EKDN220043741-1A_HLY7KDSX5_L4_2.fq.gz
L57_512	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L01_512/V300063539_L01_512_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L01_512/V300063539_L01_512_2_trim.fq.gz
L77_519	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_519/V300063539_L02_519_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_519/V300063539_L02_519_2_trim.fq.gz
L79_520	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_520/V300063539_L02_520_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_520/V300063539_L02_520_2_trim.fq.gz
L17_523	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_523/V300063539_L02_523_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_523/V300063539_L02_523_2_trim.fq.gz
L21_524	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_524/V300063539_L02_524_1_trim.fq.gz	https://sid.erda.dk/share_redirect/P668viwaMO/Whitefish_analysis_BGI/02_trim_cutadapt/V300063539_L02_524/V300063539_L02_524_2_trim.fq.gz
